stock_name,production_vendor,Amount
Wireless Bluetooth Headphones,TechSound Corp,2387.50
Smart Fitness Tracker,HealthTech Solutions,1875.00
Portable Power Bank 10000mAh,PowerMax Industries,2920.00
Wireless Charging Pad,InnoCharge Ltd,3520.00
Smart Home Security Camera,SecureVision Inc,4560.00
Bluetooth Gaming Controller,GameTech Pro,2512.50
Noise Cancelling Earbuds,AudioPrime Technologies,3889.20
Smart Water Bottle,HydroSmart Innovations,1342.50
Portable Bluetooth Speaker,SoundWave Electronics,3104.00
Smart LED Light Bulb,BrightHome Solutions,1000.00
Wireless Mouse RGB Gaming,PixelGear Systems,2208.00
Smart Doorbell Camera,HomeSafe Technologies,5240.00
Portable USB-C Hub,ConnectTech Solutions,1840.00
Smart Temperature Sensor,ClimateWise Devices,1576.00
Wireless Car Charger Mount,AutoTech Innovations,2336.00
Smart Fitness Scale,HealthMetrics Corp,3400.00
Portable Solar Power Bank,EcoCharge Solutions,4304.00
Smart Air Quality Monitor,AirSense Technologies,7280.00
Wireless Gaming Headset,AudioGamer Pro,5720.00
Smart Plant Watering System,GreenTech Innovations,3032.00
Portable Laptop Stand,ErgoDesk Solutions,1968.00
Smart Kitchen Timer,CookSmart Devices,1192.00
Wireless Keyboard Mechanical,TypeMaster Technologies,6856.00
Smart Night Light Motion,LightSense Innovations,920.00
Portable Phone Stand Adjustable,MobileStand Corp,792.00
Smart Smoke Detector WiFi,SafeGuard Technologies,6112.00
Wireless Earbuds Pro,AudioElite Solutions,8896.00
Smart Garage Door Opener,AutoAccess Systems,14392.00
Portable Wireless Charger Pad,QuickCharge Industries,2680.00
Smart Pet Feeder Automatic,PetCare Innovations,10800.00
Wireless Conference Speaker,BusinessSound Corp,20000.00
Smart Garden Irrigation Timer,GrowSmart Technologies,5568.00
Portable External SSD 1TB,DataSafe Solutions,15240.00
Smart Door Lock Keypad,SecureLock Innovations,25080.00
Wireless Presentation Remote,PresentPro Devices,4544.00
Smart Weather Station Home,WeatherWise Corp,12624.00
Portable Car Jump Starter,AutoRescue Solutions,14336.00
Smart Mirror Fitness Display,FitMirror Technologies,47992.00
Wireless Sound Bar TV,HomeAudio Systems,23280.00
Smart Sprinkler Controller WiFi,WaterSmart Innovations,13960.00
Portable Projector Mini LED,ViewTech Solutions,30360.00
Smart Thermostat Learning,ClimateTech Corp,37592.00
Wireless Security Camera Outdoor,OutdoorSafe Systems,28560.00
Smart Coffee Maker Programmable,BrewMaster Innovations,15800.00
Portable Battery Pack Solar,SolarCharge Technologies,12224.00
Smart Leak Detector Water,FlowSense Solutions,6856.00
Wireless Tablet Stand Desktop,TabletPro Accessories,3192.00
Smart Air Purifier HEPA,PureAir Technologies,26768.00
Portable WiFi Hotspot Device,ConnectAnywhere Corp,21592.00
Smart Video Doorbell Pro,DoorTech Innovations,39328.00