stck_nm,dpt_No,dpt_nm,address,lctn,cntry,rt
Wireless Bluetooth Headphones,101,Electronics,1245 Tech Boulevard,San Francisco,USA,15.75
Smart Fitness Tracker,102,Health & Fitness,2890 Innovation Drive,Austin,USA,12.50
Portable Power Bank 10000mAh,101,Electronics,1245 Tech Boulevard,San Francisco,USA,18.25
Wireless Charging Pad,101,Electronics,1245 Tech Boulevard,San Francisco,USA,22.00
Smart Home Security Camera,103,Security,4567 Safety Street,Denver,USA,28.50
Bluetooth Gaming Controller,104,Gaming,7890 Game Avenue,Seattle,USA,16.75
Noise Cancelling Earbuds,101,Electronics,1245 Tech Boulevard,San Francisco,USA,24.30
Smart Water Bottle,102,Health & Fitness,2890 Innovation Drive,Austin,USA,8.95
Portable Bluetooth Speaker,101,Electronics,1245 Tech Boulevard,San Francisco,USA,19.40
Smart LED Light Bulb,105,Home Automation,5432 Smart Way,Phoenix,USA,6.25
Wireless Mouse RGB Gaming,104,Gaming,7890 Game Avenue,Seattle,USA,13.80
Smart Doorbell Camera,103,Security,4567 Safety Street,Denver,USA,32.75
Portable USB-C Hub,101,Electronics,1245 Tech Boulevard,San Francisco,USA,11.50
Smart Temperature Sensor,105,Home Automation,5432 Smart Way,Phoenix,USA,9.85
Wireless Car Charger Mount,106,Automotive,3456 Motor Lane,Detroit,USA,14.60
Smart Fitness Scale,102,Health & Fitness,2890 Innovation Drive,Austin,USA,21.25
Portable Solar Power Bank,101,Electronics,1245 Tech Boulevard,San Francisco,USA,26.90
Smart Air Quality Monitor,105,Home Automation,5432 Smart Way,Phoenix,USA,45.50
Wireless Gaming Headset,104,Gaming,7890 Game Avenue,Seattle,USA,35.75
Smart Plant Watering System,105,Home Automation,5432 Smart Way,Phoenix,USA,18.95
Portable Laptop Stand,107,Office Supplies,6789 Business Park,Miami,USA,12.30
Smart Kitchen Timer,105,Home Automation,5432 Smart Way,Phoenix,USA,7.45
Wireless Keyboard Mechanical,104,Gaming,7890 Game Avenue,Seattle,USA,42.85
Smart Night Light Motion,105,Home Automation,5432 Smart Way,Phoenix,USA,5.75
Portable Phone Stand Adjustable,107,Office Supplies,6789 Business Park,Miami,USA,4.95
Smart Smoke Detector WiFi,103,Security,4567 Safety Street,Denver,USA,38.20
Wireless Earbuds Pro,101,Electronics,1245 Tech Boulevard,San Francisco,USA,55.60
Smart Garage Door Opener,105,Home Automation,5432 Smart Way,Phoenix,USA,89.95
Portable Wireless Charger Pad,101,Electronics,1245 Tech Boulevard,San Francisco,USA,16.75
Smart Pet Feeder Automatic,108,Pet Care,8901 Animal Avenue,Portland,USA,67.50
Wireless Conference Speaker,107,Office Supplies,6789 Business Park,Miami,USA,125.00
Smart Garden Irrigation Timer,105,Home Automation,5432 Smart Way,Phoenix,USA,34.80
Portable External SSD 1TB,101,Electronics,1245 Tech Boulevard,San Francisco,USA,95.25
Smart Door Lock Keypad,103,Security,4567 Safety Street,Denver,USA,156.75
Wireless Presentation Remote,107,Office Supplies,6789 Business Park,Miami,USA,28.40
Smart Weather Station Home,105,Home Automation,5432 Smart Way,Phoenix,USA,78.90
Portable Car Jump Starter,106,Automotive,3456 Motor Lane,Detroit,USA,89.60
Smart Mirror Fitness Display,102,Health & Fitness,2890 Innovation Drive,Austin,USA,299.95
Wireless Sound Bar TV,101,Electronics,1245 Tech Boulevard,San Francisco,USA,145.50
Smart Sprinkler Controller WiFi,105,Home Automation,5432 Smart Way,Phoenix,USA,87.25
Portable Projector Mini LED,101,Electronics,1245 Tech Boulevard,San Francisco,USA,189.75
Smart Thermostat Learning,105,Home Automation,5432 Smart Way,Phoenix,USA,234.95
Wireless Security Camera Outdoor,103,Security,4567 Safety Street,Denver,USA,178.50
Smart Coffee Maker Programmable,105,Home Automation,5432 Smart Way,Phoenix,USA,98.75
Portable Battery Pack Solar,101,Electronics,1245 Tech Boulevard,San Francisco,USA,76.40
Smart Leak Detector Water,105,Home Automation,5432 Smart Way,Phoenix,USA,42.85
Wireless Tablet Stand Desktop,107,Office Supplies,6789 Business Park,Miami,USA,19.95
Smart Air Purifier HEPA,105,Home Automation,5432 Smart Way,Phoenix,USA,167.30
Portable WiFi Hotspot Device,101,Electronics,1245 Tech Boulevard,San Francisco,USA,134.95
Smart Video Doorbell Pro,103,Security,4567 Safety Street,Denver,USA,245.80